ticker,date,open,high,low,close,adj_close,volume
AAPL,2021-02-16,131.96664818421948,132.47311511495084,129.33684859330893,129.72645568847656,129.72645568847656,80576300
AAPL,2021-02-17,127.83690273629608,128.78167951119218,126.10319202528883,127.43756103515624,127.43756103515624,97918500
AAPL,2021-02-18,125.8402278328021,126.61942728077476,124.09678225798234,126.33697509765624,126.33697509765624,96856700
AAPL,2021-02-19,126.85319396385567,127.31097309084008,125.45063790347744,126.49280548095705,126.49280548095705,87668800
AAPL,2021-02-22,124.68116782712916,126.34670679460255,122.33384236261952,122.72344207763672,122.72344207763672,103916400
AAPL,2021-02-23,120.54170021925478,123.41498433079911,115.31134105569778,122.58708953857422,122.58708953857422,158273000
AAPL,2021-02-24,121.69100535268277,122.29487783267318,119.05147832650884,122.09033966064452,122.09033966064452,111039900
AAPL,2021-02-25,121.43774971472524,123.17146037981732,117.4054092554,117.8437042236328,117.8437042236328,148199500
AAPL,2021-02-26,119.4020977442568,121.60332952526318,118.04824467349069,118.106689453125,118.106689453125,164560400
AAPL,2021-03-01,120.53194563410156,124.60324720609326,119.59691082635652,124.46688842773438,124.46688842773438,116307900
AAPL,2021-03-02,125.07078727617044,125.37272355528646,121.75920051926316,121.86634063720705,121.86634063720705,102260900
AAPL,2021-03-03,121.564359141255,122.4409564560515,118.671591717924,118.88587188720705,118.88587188720705,112966300
AAPL,2021-03-04,118.583971529586,120.38586201324064,115.53536779088374,117.00609588623048,117.00609588623048,178155000
AAPL,2021-03-05,117.8339897181949,118.76902459264008,114.51266119025206,118.26254272460938,118.26254272460938,153766600
AAPL,2021-03-08,117.7852730985796,117.85345248459532,113.18801326724598,113.33411407470705,113.33411407470705,154376600
AAPL,2021-03-09,115.93468789918522,118.8858931954571,115.7009310503409,117.9411163330078,117.9411163330078,129525800
AAPL,2021-03-10,118.52554000762704,118.99305378580544,116.34378427280272,116.8600082397461,116.8600082397461,111943300
AAPL,2021-03-11,119.35340946888309,120.00598467048324,118.1066964177676,118.78849029541016,118.78849029541016,103026500
AAPL,2021-03-12,117.2690530861972,118.01902630934984,116.06130081484936,117.8826675415039,117.8826675415039,88105100
AAPL,2021-03-15,118.25282093575969,120.7754662197614,117.28855984707408,120.7657241821289,120.7657241821289,92403800
AAPL,2021-03-16,122.4312508542222,123.9117284110974,121.47673927373422,122.30463409423828,122.30463409423828,115227900
AAPL,2021-03-17,120.82415767726631,122.58708734300563,119.158618654754,121.51569366455078,121.51569366455078,111932600
AAPL,2021-03-18,119.68457913932173,119.97678079779097,117.19115272943904,117.39569091796876,117.39569091796876,121229700
AAPL,2021-03-19,116.78205680531912,118.27226866588651,116.56777661577428,116.86971282958984,116.86971282958984,185549500
AAPL,2021-03-22,117.20087361999786,120.64881838524362,117.13269423612276,120.1812973022461,120.1812973022461,111912300
AAPL,2021-03-23,120.12286614601692,121.00919818208511,118.9638091293934,119.35340881347656,119.35340881347656,95467100
