ticker,report_date,period,revenue,cogs,gross_profit,opex,operating_income_ebit,ebt,net_income,ebitda,basic_eps,diluted_eps,total_assets,current_assets,cash_and_equivalents,accounts_receivable,inventory,non_current_assets,total_liabilities,current_liabilities,accounts_payable,short_term_debt,long_term_debt,total_equity,common_stock,retained_earnings,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_ratio,interest_coverage_ratio,roa,roe,gross_margin,net_margin,asset_turnover,inventory_turnover,receivables_turnover
JNJ,2021-12-31,12M,78740000000.0,23402000000.0,55338000000.0,0,20943000000.0,19178000000.0,20878000000.0,26751000000.0,7.930572,7.81,182018000000.0,60979000000.0,14487000000.0,0,10387000000.0,121039000000.0,107995000000.0,45226000000.0,11055000000.0,3766000000.0,29985000000.0,74023000000.0,3120000000.0,123060000000.0,1.3483173395834254,1.1186485649847433,0.32032459204882147,1.4589384380530375,0.5933204408355217,114.44262295081967,0.1147029414673274,0.28204747173175904,0.7027940055880112,0.2651511303022606,0.4325945785581646,2.2530085684028114,
V,2025-09-30,12M,40000000000.0,7855000000.0,32145000000.0,0,26556000000.0,24194000000.0,20058000000.0,26003000000.0,10.22,10.2,99627000000.0,37766000000.0,17164000000.0,0,,61861000000.0,61718000000.0,35048000000.0,555000000.0,5569000000.0,19602000000.0,37909000000.0,0.0,15106000000.0,1.0775507874914403,,0.48972837251769,1.6280566620063837,0.6194907003121644,45.08658743633277,0.20133096449757595,0.5291091825160252,0.803625,0.50145,0.4014975859957642,,
V,2024-09-30,12M,35926000000.0,7042000000.0,28884000000.0,0,24057000000.0,23916000000.0,19743000000.0,25591000000.0,9.74,9.73,94511000000.0,34033000000.0,11975000000.0,0,,60478000000.0,55374000000.0,26517000000.0,479000000.0,,20836000000.0,39137000000.0,0.0,17289000000.0,1.2834408115548517,,0.45159708866010484,1.4148759485908475,0.5859000539619726,37.53042121684867,0.2088963189470009,0.504458696374275,0.803985971162946,0.5495462895952792,0.3801250648072711,,
V,2023-09-30,12M,32653000000.0,6567000000.0,26086000000.0,0,21927000000.0,21037000000.0,17273000000.0,22624000000.0,8.29,8.28,90499000000.0,33532000000.0,16286000000.0,0,,56967000000.0,51766000000.0,23098000000.0,375000000.0,,20463000000.0,38733000000.0,0.0,18040000000.0,1.451727422287644,,0.7050826911420902,1.3364831022642192,0.5720063205118289,34.048136645962735,0.19086398744737512,0.44595048150156197,0.7988852479098398,0.5289866168499066,0.3608106166918971,,
V,2022-09-30,12M,29310000000.0,5733000000.0,23577000000.0,0,19681000000.0,18136000000.0,14957000000.0,19535000000.0,7.01,7.0,85501000000.0,30205000000.0,15689000000.0,0,,55296000000.0,49920000000.0,20853000000.0,340000000.0,2250000000.0,20200000000.0,35581000000.0,0.0,16116000000.0,1.4484726418261162,,0.7523617704886587,1.4029959810010961,0.5838528204348488,36.5817843866171,0.1749336265072923,0.42036480143897026,0.8044012282497441,0.5103036506311839,0.3428030081519514,,
WMT,2025-01-31,12M,680985000000.0,511753000000.0,169232000000.0,0,29348000000.0,26309000000.0,19436000000.0,42010000000.0,2.42,2.41,260823000000.0,79458000000.0,9037000000.0,0,56435000000.0,181365000000.0,163131000000.0,96584000000.0,58666000000.0,5666000000.0,33401000000.0,91013000000.0,802000000.0,98313000000.0,0.8226828460200447,0.2383728153731467,0.09356622214859604,1.7923922956061222,0.6254471423149032,10.758064516129032,0.07451796812397679,0.2135519101666795,0.24851061330278934,0.028541010448100913,2.610908547175671,9.06800744219013,
WMT,2024-01-31,12M,648125000000.0,490142000000.0,157983000000.0,0,27012000000.0,21848000000.0,15511000000.0,36384000000.0,1.92,1.913333,252399000000.0,76877000000.0,9867000000.0,0,54892000000.0,175522000000.0,161828000000.0,92415000000.0,56812000000.0,4325000000.0,36132000000.0,83861000000.0,805000000.0,89814000000.0,0.8318671211383434,0.23789428123140183,0.10676838175620841,1.9297170317549277,0.641159434070658,10.067834513604174,0.0614542846841707,0.18496082803687053,0.24375390549662487,0.023932111861137896,2.5678588266989966,8.929206441740144,
WMT,2023-01-31,12M,611289000000.0,463721000000.0,147568000000.0,0,20428000000.0,17016000000.0,11680000000.0,30089000000.0,1.43,1.423333,243197000000.0,75655000000.0,8625000000.0,0,56576000000.0,167542000000.0,159206000000.0,92198000000.0,53742000000.0,4563000000.0,34649000000.0,76693000000.0,808000000.0,83135000000.0,0.8205709451398078,0.20693507451354692,0.09354866699928414,2.075886977951052,0.65463800951492,9.599624060150376,0.04802690822666398,0.15229551588802107,0.24140463839525986,0.01910716535059522,2.5135548547062667,8.19642604638009,
WMT,2022-01-31,12M,572754000000.0,429000000000.0,143754000000.0,0,25942000000.0,18696000000.0,13673000000.0,31348000000.0,1.633333,1.623333,244860000000.0,81070000000.0,14760000000.0,0,56511000000.0,163790000000.0,152969000000.0,87379000000.0,55261000000.0,3213000000.0,34864000000.0,83253000000.0,276000000.0,86904000000.0,0.9277972968333352,0.2810629556300713,0.16891930555396606,1.837399252879776,0.6247202483051539,13.010030090270812,0.05584007187780773,0.16423432188629838,0.25098733487675334,0.0238723780191845,2.339108061749571,7.59144237405107,
WMT,2021-01-31,12M,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
