ticker,date,close,ma_30
AAPL,2026-04-06,258.86,257.601
AAPL,2026-04-02,255.92,257.7916666666667
AAPL,2026-04-01,255.63,257.947
AAPL,2026-03-31,253.79,258.23766666666666
AAPL,2026-03-30,246.63,258.574
AAPL,2026-03-27,248.8,258.879
AAPL,2026-03-26,252.89,259.31
AAPL,2026-03-25,252.62,260.0636666666667
AAPL,2026-03-24,251.64,260.7656666666667
AAPL,2026-03-23,251.49,261.5316666666667
AAPL,2026-03-20,247.99,262.4193333333333
AAPL,2026-03-19,248.96,263.35
AAPL,2026-03-18,249.94,264.2676666666667
AAPL,2026-03-17,254.23,264.919
AAPL,2026-03-16,252.82,265.445
AAPL,2026-03-13,250.12,265.667
AAPL,2026-03-12,255.76,265.939
AAPL,2026-03-11,260.81,265.96166666666664
AAPL,2026-03-10,260.83,265.877
AAPL,2026-03-09,259.88,265.6963333333333
AAPL,2026-03-06,257.46,265.3231666666667
AAPL,2026-03-05,260.29,265.0195
AAPL,2026-03-04,262.52,264.59816666666666
AAPL,2026-03-03,263.75,264.0708333333333
AAPL,2026-03-02,264.72,263.7968333333333
AAPL,2026-02-27,264.18,263.57983333333334
AAPL,2026-02-26,272.95,263.43916666666667
AAPL,2026-02-25,274.23,263.0425
AAPL,2026-02-24,272.14,262.5765
AAPL,2026-02-23,266.18,262.1508333333333
AAPL,2026-02-20,264.58,261.9128333333333
AAPL,2026-02-19,260.58,261.77116666666666
AAPL,2026-02-18,264.35,261.8305
AAPL,2026-02-17,263.88,261.9275
AAPL,2026-02-13,255.78,262.16516666666666
AAPL,2026-02-12,261.73,262.70116666666667
AAPL,2026-02-11,275.5,263.0795
AAPL,2026-02-10,273.68,263.0215
AAPL,2026-02-09,274.62,263.01216666666664
AAPL,2026-02-06,278.12,262.98516666666666
AAPL,2026-02-05,275.91,262.79316666666665
AAPL,2026-02-04,276.49,262.6285
AAPL,2026-02-03,269.48,262.5345
AAPL,2026-02-02,270.01,262.62483333333336
AAPL,2026-01-30,259.48,262.68583333333333
AAPL,2026-01-29,258.28,263.19016666666664
AAPL,2026-01-28,256.44,263.7178333333333
AAPL,2026-01-27,258.27,264.4458333333333
AAPL,2026-01-26,255.41,265.1045
AAPL,2026-01-23,248.685,265.8835
AAPL,2026-01-22,248.35,266.8333333333333
AAPL,2026-01-21,247.65,267.818
AAPL,2026-01-20,246.7,268.85566666666665
AAPL,2026-01-16,255.53,269.989
AAPL,2026-01-15,258.21,270.943
AAPL,2026-01-14,259.96,271.8756666666667
AAPL,2026-01-13,261.05,272.647
AAPL,2026-01-12,260.25,273.24033333333335
AAPL,2026-01-09,259.37,273.817
AAPL,2026-01-08,259.04,274.40366666666665
AAPL,2026-01-07,260.33,274.96633333333335
AAPL,2026-01-06,262.36,275.3383333333333
AAPL,2026-01-05,267.26,275.468
AAPL,2026-01-02,271.01,275.5113333333333
AAPL,2025-12-31,271.86,275.39233333333334
AAPL,2025-12-30,273.08,275.2456666666667
AAPL,2025-12-29,273.76,275.22333333333336
AAPL,2025-12-26,273.4,275.1963333333333
AAPL,2025-12-24,273.81,275.19866666666667
AAPL,2025-12-23,272.36,275.24666666666667
AAPL,2025-12-22,270.97,275.149
AAPL,2025-12-19,273.67,275.057
AAPL,2025-12-18,272.19,274.91829
AAPL,2025-12-17,271.84,274.84123666666665
AAPL,2025-12-16,274.61,274.77252
AAPL,2025-12-15,274.11,274.5785
AAPL,2025-12-12,278.28,274.4451066666667
AAPL,2025-12-11,278.03,274.20701
AAPL,2025-12-10,278.78,273.92063666666667
AAPL,2025-12-09,277.18,273.58595333333335
AAPL,2025-12-08,277.89,273.29827666666665
AAPL,2025-12-05,278.78,272.78746
AAPL,2025-12-04,280.7,272.13908
AAPL,2025-12-03,284.15,271.38907
AAPL,2025-12-02,286.19,270.66792
AAPL,2025-12-01,283.1,269.86112
AAPL,2025-11-28,278.85,268.8259766666667
AAPL,2025-11-26,277.55,267.7713233333333
AAPL,2025-11-25,276.97,266.82294
AAPL,2025-11-24,275.92,265.8416066666667
AAPL,2025-11-21,271.49,264.89161333333334
AAPL,2025-11-20,266.25,264.0096966666667
AAPL,2025-11-19,268.56,263.59449666666666
AAPL,2025-11-18,267.44,263.2361666666667
AAPL,2025-11-17,267.46,262.8625533333333
AAPL,2025-11-14,272.41,262.4952666666667
AAPL,2025-11-13,272.95,262.00727
AAPL,2025-11-12,273.47,261.47163666666665
AAPL,2025-11-11,275.25,260.86272333333335
AAPL,2025-11-10,269.43,260.16717
