sector,company_count,avg_net_margin_percent,avg_roe_percent,latest_report_date
Technology,4,37.23,83.69,2025-11-30
"Financial Services",5,34.56,60.68,2025-12-31
"Communication Services",4,25.08,28.05,2025-12-31
"Consumer Defensive",3,14.80,31.61,2025-06-30
Healthcare,2,9.72,17.62,2024-12-31
"Consumer Cyclical",3,8.04,82.16,2025-12-31
