ticker,date,close,MA_30
AAPL,2025-12-05,278.7800,272.78746000
AAPL,2025-12-04,280.7000,272.13908000
AAPL,2025-12-03,284.1500,271.38907000
AAPL,2025-12-02,286.1900,270.66792000
AAPL,2025-12-01,283.1000,269.86112000
AAPL,2025-11-28,278.8500,268.82597667
AAPL,2025-11-26,277.5500,267.77132333
AAPL,2025-11-25,276.9700,266.82294000
AAPL,2025-11-24,275.9200,265.84160667
AAPL,2025-11-21,271.4900,264.89161333
AAPL,2025-11-20,266.2500,264.00969667
AAPL,2025-11-19,268.5600,263.59449667
AAPL,2025-11-18,267.4400,263.23616667
AAPL,2025-11-17,267.4600,262.86255333
AAPL,2025-11-14,272.4100,262.49526667
AAPL,2025-11-13,272.9500,262.00727000
AAPL,2025-11-12,273.4700,261.47163667
AAPL,2025-11-11,275.2500,260.86272333
AAPL,2025-11-10,269.4300,260.16717000
AAPL,2025-11-07,268.2100,259.65895667
AAPL,2025-11-06,269.5087,259.22571000
AAPL,2025-11-05,269.8784,258.79612667
AAPL,2025-11-04,269.7785,258.20236667
AAPL,2025-11-03,268.7894,257.68253667
AAPL,2025-10-31,270.1082,257.25062333
AAPL,2025-10-30,271.1371,256.42242333
AAPL,2025-10-29,269.4388,255.30617333
AAPL,2025-10-28,268.7395,254.28350000
AAPL,2025-10-27,268.5497,253.25616333
AAPL,2025-10-24,262.5655,252.18686667
AAPL,2025-10-23,259.3286,251.22946000
AAPL,2025-10-22,258.1997,250.24541333
AAPL,2025-10-21,262.5155,249.19110333
AAPL,2025-10-20,261.9860,248.24468667
AAPL,2025-10-17,252.0457,247.43347333
AAPL,2025-10-16,247.2104,247.01388000
AAPL,2025-10-15,249.0985,246.75846000
AAPL,2025-10-14,247.5300,246.39648000
AAPL,2025-10-13,247.4202,245.79539667
AAPL,2025-10-10,245.0325,245.27856333
AAPL,2025-10-09,253.7940,244.85530667
AAPL,2025-10-08,257.8101,244.07106667
AAPL,2025-10-07,256.2316,243.11366000
AAPL,2025-10-06,256.4414,242.13727333
AAPL,2025-10-03,257.7701,241.17387333
AAPL,2025-10-02,256.8810,240.07094333
AAPL,2025-10-01,255.2026,239.03461333
AAPL,2025-09-30,254.3834,238.20575000
AAPL,2025-09-29,254.1836,237.41518333
AAPL,2025-09-26,255.2126,236.65458667
AAPL,2025-09-25,256.6212,235.89932000
AAPL,2025-09-24,252.0656,235.11541333
AAPL,2025-09-23,254.1836,234.36081333
AAPL,2025-09-22,255.8320,233.45336000
AAPL,2025-09-19,245.2622,232.55456333
AAPL,2025-09-18,237.6496,231.69808000
AAPL,2025-09-17,238.7586,230.86982667
AAPL,2025-09-16,237.9194,229.66099667
AAPL,2025-09-15,236.4708,228.49444333
AAPL,2025-09-12,233.8433,227.34391000
AAPL,2025-09-11,229.8072,226.45359667
AAPL,2025-09-10,226.5704,225.74705000
AAPL,2025-09-09,234.1230,225.22224000
AAPL,2025-09-08,237.6496,224.53815000
AAPL,2025-09-05,239.4579,223.73085000
AAPL,2025-09-04,239.5478,222.85928333
AAPL,2025-09-03,238.2391,221.99769333
AAPL,2025-09-02,229.4975,221.18804333
AAPL,2025-08-29,231.9152,220.60591333
AAPL,2025-08-28,232.3348,219.89995000
AAPL,2025-08-27,230.2668,219.14141667
AAPL,2025-08-26,229.0879,218.45647333
AAPL,2025-08-25,226.9400,217.77590000
AAPL,2025-08-22,227.5394,217.15062333
AAPL,2025-08-21,224.6822,216.58985667
AAPL,2025-08-20,225.7911,216.16590667
AAPL,2025-08-19,230.3367,215.66275000
AAPL,2025-08-18,230.6664,214.97048667
AAPL,2025-08-15,231.3657,214.26523667
AAPL,2025-08-14,232.5546,213.65642333
AAPL,2025-08-13,233.1040,212.97106000
AAPL,2025-08-12,229.4276,212.11370667
AAPL,2025-08-11,226.9600,211.29075000
AAPL,2025-08-08,228.8681,210.41400000
AAPL,2025-08-07,219.5677,209.47098667
AAPL,2025-08-06,212.8020,208.85661333
AAPL,2025-08-05,202.4937,208.42585333
AAPL,2025-08-04,202.9228,208.37862000
AAPL,2025-08-01,201.9548,208.30045000
AAPL,2025-07-31,207.1339,208.10752333
AAPL,2025-07-30,208.6108,207.71069333
AAPL,2025-07-29,210.8261,207.35710333
AAPL,2025-07-28,213.6003,206.86414333
AAPL,2025-07-25,213.4306,206.37018333
AAPL,2025-07-24,213.3109,205.86791000
AAPL,2025-07-23,213.7001,205.49902000
AAPL,2025-07-22,213.9496,205.07657667
AAPL,2025-07-21,212.0336,204.72797667
AAPL,2025-07-18,210.7363,204.33380667
AAPL,2025-07-17,209.5788,204.05572667
